product,N2BvsE2B,visits,Category,Device,CTA,Date,Month,week_year,traffic,Product page
all,N2BandE2B,NA,NA,web,NA,NA,February,6_2023,SEA,233
all,N2BandE2B,NA,NA,web,NA,NA,February,7_2023,SEA,229
all,N2BandE2B,NA,NA,web,NA,NA,November,46_2022,Direct,111
all,N2BandE2B,NA,NA,web,NA,NA,November,47_2022,Direct,1495
all,N2BandE2B,NA,NA,web,NA,NA,November,48_2022,Direct,1396
all,N2BandE2B,NA,NA,web,NA,NA,December,49_2022,Direct,2026
all,N2BandE2B,NA,NA,web,NA,NA,December,50_2022,Direct,1598
all,N2BandE2B,NA,NA,web,NA,NA,December,51_2022,Direct,1269
all,N2BandE2B,NA,NA,web,NA,NA,December,52_2022,Direct,823
all,N2BandE2B,NA,NA,web,NA,NA,January,1_2023,Direct,1572
all,N2BandE2B,NA,NA,web,NA,NA,January,2_2023,Direct,1705
all,N2BandE2B,NA,NA,web,NA,NA,January,3_2023,Direct,1653
all,N2BandE2B,NA,NA,web,NA,NA,January,4_2023,Direct,1463
all,N2BandE2B,NA,NA,web,NA,NA,January,5_2023,Direct,1753
all,N2BandE2B,NA,NA,web,NA,NA,February,6_2023,Direct,2489
all,N2BandE2B,NA,NA,web,NA,NA,February,7_2023,Direct,1462
all,N2BandE2B,NA,NA,web,NA,NA,November,46_2022,Referrals,3
all,N2BandE2B,NA,NA,web,NA,NA,November,47_2022,Referrals,56
all,N2BandE2B,NA,NA,web,NA,NA,November,48_2022,Referrals,57
all,N2BandE2B,NA,NA,web,NA,NA,December,49_2022,Referrals,67
all,N2BandE2B,NA,NA,web,NA,NA,December,50_2022,Referrals,36
all,N2BandE2B,NA,NA,web,NA,NA,December,51_2022,Referrals,37
all,N2BandE2B,NA,NA,web,NA,NA,December,52_2022,Referrals,42
all,N2BandE2B,NA,NA,web,NA,NA,January,1_2023,Referrals,58
all,N2BandE2B,NA,NA,web,NA,NA,January,2_2023,Referrals,70
all,N2BandE2B,NA,NA,web,NA,NA,January,3_2023,Referrals,85
all,N2BandE2B,NA,NA,web,NA,NA,January,4_2023,Referrals,78
all,N2BandE2B,NA,NA,web,NA,NA,January,5_2023,Referrals,71
all,N2BandE2B,NA,NA,web,NA,NA,February,6_2023,Referrals,119
all,N2BandE2B,NA,NA,web,NA,NA,February,7_2023,Referrals,53
all,N2BandE2B,NA,NA,web,NA,NA,November,46_2022,Affiliates,3
all,N2BandE2B,NA,NA,web,NA,NA,November,47_2022,Affiliates,32
all,N2BandE2B,NA,NA,web,NA,NA,November,48_2022,Affiliates,23
all,N2BandE2B,NA,NA,web,NA,NA,December,49_2022,Affiliates,42
all,N2BandE2B,NA,NA,web,NA,NA,December,50_2022,Affiliates,41
all,N2BandE2B,NA,NA,web,NA,NA,December,51_2022,Affiliates,24
all,N2BandE2B,NA,NA,web,NA,NA,December,52_2022,Affiliates,19
all,N2BandE2B,NA,NA,web,NA,NA,January,1_2023,Affiliates,0
all,N2BandE2B,NA,NA,web,NA,NA,January,2_2023,Affiliates,0
all,N2BandE2B,NA,NA,web,NA,NA,January,3_2023,Affiliates,0
all,N2BandE2B,NA,NA,web,NA,NA,January,4_2023,Affiliates,0
all,N2BandE2B,NA,NA,web,NA,NA,January,5_2023,Affiliates,0
all,N2BandE2B,NA,NA,web,NA,NA,February,6_2023,Affiliates,0
all,N2BandE2B,NA,NA,web,NA,NA,February,7_2023,Affiliates,0
