Calculators,Campaign page,Product page app,Product page open,Product page secured,Date,Product page target,Visitor or Client,MonthvsWeek,month,target_PP_23
38408,2841,NA,11926,0,2023-04-10,14767,visitor,Week,April,45945.8
0,0,1745,0,231,2023-04-17,231,client,Week,April,45945.8
35841,3976,NA,12694,0,2023-04-17,16670,visitor,Week,April,45945.8
0,0,1482,0,175,2023-04-24,175,client,Week,April,45945.8
33371,3324,NA,11590,0,2023-04-24,14914,visitor,Week,April,45945.8
0,0,1784,0,264,2023-05-01,264,client,Week,May,57923.380000000005
36466,4381,NA,15244,0,2023-05-01,19625,visitor,Week,May,57923.380000000005
0,0,1496,0,206,2023-05-08,206,client,Week,May,57923.380000000005
29287,3418,NA,12449,0,2023-05-08,15867,visitor,Week,May,57923.380000000005
0,0,1574,0,230,2023-05-15,230,client,Week,May,57923.380000000005
31883,2798,NA,13763,0,2023-05-15,16561,visitor,Week,May,57923.380000000005
0,0,1479,0,225,2023-05-22,225,client,Week,May,57923.380000000005
30761,4322,NA,12084,0,2023-05-22,16406,visitor,Week,May,57923.380000000005
0,0,1645,0,218,2023-05-29,218,client,Week,May,57923.380000000005
31086,4998,NA,12034,0,2023-05-29,17032,visitor,Week,May,57923.380000000005
0,0,1944,0,192,2023-06-05,192,client,Week,June,59778.76
32747,5540,NA,14862,0,2023-06-05,20402,visitor,Week,June,59778.76
0,0,1807,0,222,2023-06-12,222,client,Week,June,59778.76
29683,4799,NA,12396,0,2023-06-12,17195,visitor,Week,June,59778.76
0,0,1611,0,185,2023-06-19,185,client,Week,June,59778.76
29970,4771,NA,12338,0,2023-06-19,17109,visitor,Week,June,59778.76
0,0,1653,0,196,2023-06-26,196,client,Week,June,59778.76
28545,5401,NA,11742,0,2023-06-26,17143,visitor,Week,June,59778.76
0,0,1592,0,206,2023-07-03,206,client,Week,July,72823.13
30527,5364,NA,10551,0,2023-07-03,15915,visitor,Week,July,72823.13
0,0,1484,0,205,2023-07-10,205,client,Week,July,72823.13
31090,4787,NA,9464,0,2023-07-10,14251,visitor,Week,July,72823.13
0,0,1467,0,194,2023-07-17,194,client,Week,July,72823.13
39397,4709,NA,9489,0,2023-07-17,14198,visitor,Week,July,72823.13
0,0,1238,0,185,2023-07-24,185,client,Week,July,72823.13
37380,5182,NA,8926,0,2023-07-24,14108,visitor,Week,July,72823.13
0,0,43,0,10,2023-07-31,10,client,Week,July,72823.13
1622,212,NA,444,0,2023-07-31,656,visitor,Week,July,72823.13
0,0,5222,0,853,2022-08-01,853,client,Month,August,74911.77
130160,6579,NA,53376,0,2022-08-01,59955,visitor,Month,August,74911.77
0,0,6388,0,930,2022-09-01,930,client,Month,September,63583.68
149022,8522,NA,58269,0,2022-09-01,66791,visitor,Month,September,63583.68
0,0,6889,0,973,2022-10-01,973,client,Month,October,65932.33
155256,9241,NA,60187,0,2022-10-01,69428,visitor,Month,October,65932.33
0,0,5865,0,921,2022-11-01,921,client,Month,November,60588.75
130884,6318,NA,56753,0,2022-11-01,63071,visitor,Month,November,60588.75
0,0,5203,0,717,2022-12-01,717,client,Month,December,51634.990000000005
120910,12438,NA,41729,0,2022-12-01,54167,visitor,Month,December,51634.990000000005
0,0,7646,0,1096,2023-01-01,1096,client,Month,January,52290.9
145021,3227,NA,54413,0,2023-01-01,57640,visitor,Month,January,52290.9
0,0,8066,0,1145,2023-02-01,1145,client,Month,February,53153.32
145408,7162,NA,63980,0,2023-02-01,71142,visitor,Month,February,53153.32
0,0,7669,0,1048,2023-03-01,1048,client,Month,March,50582.11
172391,13014,NA,62071,0,2023-03-01,75085,visitor,Month,March,50582.11
0,0,6748,0,903,2023-04-01,903,client,Month,April,45945.8
158399,13814,NA,50447,0,2023-04-01,64261,visitor,Month,April,45945.8
0,0,7077,0,1038,2023-05-01,1038,client,Month,May,57923.380000000005
142665,17541,NA,59619,0,2023-05-01,77160,visitor,Month,May,57923.380000000005
0,0,7441,0,856,2023-06-01,856,client,Month,June,59778.76
129755,21483,NA,55170,0,2023-06-01,76653,visitor,Month,June,59778.76
0,0,6299,0,844,2023-07-01,844,client,Month,July,72823.13
148024,21658,NA,40997,0,2023-07-01,62655,visitor,Month,July,72823.13
130160,6579,5222,53376,853,2022-08-01,60808,total,Month,August,74911.77
149022,8522,6388,58269,930,2022-09-01,67721,total,Month,September,63583.68
155256,9241,6889,60187,973,2022-10-01,70401,total,Month,October,65932.33
130884,6318,5865,56753,921,2022-11-01,63992,total,Month,November,60588.75
120910,12438,5203,41729,717,2022-12-01,54884,total,Month,December,51634.990000000005
145021,3227,7646,54413,1096,2023-01-01,58736,total,Month,January,52290.9
145408,7162,8066,63980,1145,2023-02-01,72287,total,Month,February,53153.32
172391,13014,7669,62071,1048,2023-03-01,76133,total,Month,March,50582.11
158399,13814,6748,50447,903,2023-04-01,65164,total,Month,April,45945.8
142665,17541,7077,59619,1038,2023-05-01,78198,total,Month,May,57923.380000000005
129755,21483,7441,55170,856,2023-06-01,77509,total,Month,June,59778.76
148024,21658,6299,40997,844,2023-07-01,63499,total,Month,July,72823.13
