Last Touch Marketing Channel,Product page,Start application,Finish application,Category,con_1,con_2,Date,MonthvsWeek,Visitor or Client
Affiliate,2106,31,5,Mortgages,1.4719848053181388,16.129032258064516,2022-12-19,Week,total
Direct,669965,147,77,Mortgages,0.021941444702335194,52.38095238095239,2022-12-19,Week,total
Display,1,0,0,Mortgages,0,NA,2022-12-19,Week,total
Email,3124,0,0,Mortgages,0,NA,2022-12-19,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-12-19,Week,total
Natural Search,160484,151,64,Mortgages,0.09409037661075248,42.384105960264904,2022-12-19,Week,total
Paid Search,12817,82,23,Mortgages,0.6397752984317704,28.04878048780488,2022-12-19,Week,total
Referring Domains,11135,8,2,Mortgages,0.07184553210597215,25,2022-12-19,Week,total
Social Networks,277,0,0,Mortgages,0,NA,2022-12-19,Week,total
::unspecified::,504,0,0,Mortgages,0,NA,2022-12-26,Week,total
Affiliate,1396,5,0,Mortgages,0.35816618911174786,0,2022-12-26,Week,total
Direct,531523,142,79,Mortgages,0.026715683046641445,55.633802816901415,2022-12-26,Week,total
Display,2,0,0,Mortgages,0,NA,2022-12-26,Week,total
Email,575,0,0,Mortgages,0,NA,2022-12-26,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-12-26,Week,total
Natural Search,132668,91,44,Mortgages,0.06859227545451804,48.35164835164835,2022-12-26,Week,total
Paid Search,11263,85,26,Mortgages,0.7546834768711711,30.58823529411765,2022-12-26,Week,total
Referring Domains,8931,3,2,Mortgages,0.03359086328518643,66.66666666666666,2022-12-26,Week,total
Social Networks,171,0,0,Mortgages,0,NA,2022-12-26,Week,total
::unspecified::,61,0,0,Mortgages,0,NA,2022-12-26,Week,total
Affiliate,24,0,0,Mortgages,0,NA,2022-12-26,Week,total
Direct,81162,15,10,Mortgages,0.01848155540770311,66.66666666666666,2022-12-26,Week,total
Display,1,0,0,Mortgages,0,NA,2022-12-26,Week,total
Email,62,0,0,Mortgages,0,NA,2022-12-26,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-12-26,Week,total
Natural Search,19333,11,3,Mortgages,0.056897532716081306,27.27272727272727,2022-12-26,Week,total
Paid Search,1919,5,0,Mortgages,0.26055237102657636,0,2022-12-26,Week,total
Referring Domains,1176,0,0,Mortgages,0,NA,2022-12-26,Week,total
Social Networks,26,0,0,Mortgages,0,NA,2022-12-26,Week,total
::unspecified::,847,2,0,Mortgages,0.23612750885478156,0,2023-01-02,Week,total
Affiliate,72,1,0,Mortgages,1.3888888888888888,0,2023-01-02,Week,total
Direct,695997,276,133,Mortgages,0.03965534334199716,48.188405797101446,2023-01-02,Week,total
Display,1,0,0,Mortgages,0,NA,2023-01-02,Week,total
Email,657,2,1,Mortgages,0.30441400304414,50,2023-01-02,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2023-01-02,Week,total
Natural Search,197848,302,124,Mortgages,0.15264243257450164,41.05960264900662,2023-01-02,Week,total
Paid Search,12909,52,16,Mortgages,0.4028197381671702,30.76923076923077,2023-01-02,Week,total
Referring Domains,13145,18,8,Mortgages,0.13693419551160135,44.44444444444444,2023-01-02,Week,total
Social Networks,309,0,0,Mortgages,0,NA,2023-01-02,Week,total
::unspecified::,997,0,0,Mortgages,0,NA,2023-01-09,Week,total
Affiliate,34,0,0,Mortgages,0,NA,2023-01-09,Week,total
Direct,789598,277,127,Mortgages,0.0350811425560855,45.84837545126354,2023-01-09,Week,total
Display,1,0,0,Mortgages,0,NA,2023-01-09,Week,total
Email,10891,3,0,Mortgages,0.027545679919199338,0,2023-01-09,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2023-01-09,Week,total
Natural Search,209478,361,145,Mortgages,0.17233313283495164,40.16620498614959,2023-01-09,Week,total
Paid Search,17327,51,16,Mortgages,0.29433831592312576,31.372549019607842,2023-01-09,Week,total
Referring Domains,14138,6,6,Mortgages,0.042438817371622584,100,2023-01-09,Week,total
Social Networks,528,0,0,Mortgages,0,NA,2023-01-09,Week,total
::unspecified::,546,1,1,Mortgages,0.18315018315018314,100,2023-01-16,Week,total
Affiliate,22,0,0,Mortgages,0,NA,2023-01-16,Week,total
Direct,790989,240,145,Mortgages,0.030341762021975024,60.416666666666664,2023-01-16,Week,total
Display,2,0,0,Mortgages,0,NA,2023-01-16,Week,total
Email,4047,25,4,Mortgages,0.6177415369409439,16,2023-01-16,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2023-01-16,Week,total
Natural Search,211746,322,128,Mortgages,0.15206898831619015,39.75155279503105,2023-01-16,Week,total
Paid Search,15881,19,10,Mortgages,0.1196398211699515,52.63157894736842,2023-01-16,Week,total
Referring Domains,14784,13,4,Mortgages,0.08793290043290043,30.76923076923077,2023-01-16,Week,total
Social Networks,1900,0,0,Mortgages,0,NA,2023-01-16,Week,total
::unspecified::,683,0,0,Mortgages,0,NA,2023-01-23,Week,total
Affiliate,36,0,0,Mortgages,0,NA,2023-01-23,Week,total
Direct,705759,285,146,Mortgages,0.04038205676441958,51.2280701754386,2023-01-23,Week,total
Display,1,0,0,Mortgages,0,NA,2023-01-23,Week,total
Email,6754,3,0,Mortgages,0.04441812259401836,0,2023-01-23,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2023-01-23,Week,total
Natural Search,193861,292,128,Mortgages,0.15062338479632315,43.83561643835616,2023-01-23,Week,total
Paid Search,14903,18,8,Mortgages,0.12078105079514191,44.44444444444444,2023-01-23,Week,total
Referring Domains,13254,14,4,Mortgages,0.10562848951259998,28.57142857142857,2023-01-23,Week,total
Social Networks,2355,0,0,Mortgages,0,NA,2023-01-23,Week,total
::unspecified::,707,0,0,Mortgages,0,NA,2023-01-30,Week,total
Affiliate,10,0,0,Mortgages,0,NA,2023-01-30,Week,total
Direct,765039,324,189,Mortgages,0.04235078211699011,58.333333333333336,2023-01-30,Week,total
Display,7,0,0,Mortgages,0,NA,2023-01-30,Week,total
Email,4818,31,14,Mortgages,0.6434205064342051,45.16129032258064,2023-01-30,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2023-01-30,Week,total
Natural Search,221587,339,141,Mortgages,0.1529873142377486,41.5929203539823,2023-01-30,Week,total
Paid Search,18119,28,12,Mortgages,0.15453391467520283,42.857142857142854,2023-01-30,Week,total
Referring Domains,14287,25,6,Mortgages,0.17498425141737245,24,2023-01-30,Week,total
Social Networks,1940,0,0,Mortgages,0,NA,2023-01-30,Week,total
::unspecified::,1582,1,0,Mortgages,0.06321112515802782,0,2023-02-06,Week,total
Affiliate,15,1,0,Mortgages,6.666666666666667,0,2023-02-06,Week,total
Direct,784051,332,149,Mortgages,0.04234418424311684,44.87951807228915,2023-02-06,Week,total
Display,3423,0,0,Mortgages,0,NA,2023-02-06,Week,total
Email,9323,16,7,Mortgages,0.17161857771103722,43.75,2023-02-06,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2023-02-06,Week,total
Natural Search,232797,367,161,Mortgages,0.1576480796573839,43.869209809264305,2023-02-06,Week,total
Paid Search,24927,72,22,Mortgages,0.2888434227945601,30.555555555555557,2023-02-06,Week,total
Referring Domains,15171,9,8,Mortgages,0.059323709709313825,88.88888888888889,2023-02-06,Week,total
Social Networks,7457,0,0,Mortgages,0,NA,2023-02-06,Week,total
::unspecified::,1588,1,0,Mortgages,0.06297229219143577,0,2023-02-13,Week,total
Affiliate,2,0,0,Mortgages,0,NA,2023-02-13,Week,total
Direct,718758,246,120,Mortgages,0.03422570600953311,48.78048780487805,2023-02-13,Week,total
Display,4238,0,0,Mortgages,0,NA,2023-02-13,Week,total
Email,6044,5,5,Mortgages,0.0827266710787558,100,2023-02-13,Week,total
Mobile App,2627,81,41,Mortgages,3.083365055196041,50.617283950617285,2023-02-13,Week,total
Natural Search,214100,266,105,Mortgages,0.12424100887435778,39.473684210526315,2023-02-13,Week,total
Paid Search,28042,86,24,Mortgages,0.3066828328935169,27.906976744186046,2023-02-13,Week,total
Referring Domains,14546,15,5,Mortgages,0.1031211329575141,33.33333333333333,2023-02-13,Week,total
Social Networks,5801,2,0,Mortgages,0.03447681434235477,0,2023-02-13,Week,total
::unspecified::,1440,1,1,Mortgages,0.06944444444444445,100,2023-02-20,Week,total
Affiliate,10,0,0,Mortgages,0,NA,2023-02-20,Week,total
