,Visits,Fallout,Fall through
ing.com.au/mortgage-simplifier,85689,,1
HL app intro,3004,0.9649429915158305,0.0350570084841695


##############################################
# segment page - Invest
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/invest,10131,,1
HL app intro,598,0.9409732504195045,0.05902674958049551


##############################################
# From Fixed rate loan
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/fixed-rate-loan,131594,,1
HL app intro,1893,0.9856148456616564,0.014385154338343694


#=================================================================
# Same-session conversion rates | Apply funnel (from app start to app complete)
# Report suite: ING Direct Production Report Suite
"# Date: Jan 1, 2022 - Jan 31, 2023"
#=================================================================


##############################################
# Same-session | Existing customer apply
##############################################
,,,
,Visitors,Fallout,Fall through
personal details,2369,,1
single-joint,1567,0.3385394681300127,0.6614605318699873
property,1339,0.14550095724313972,0.5652173913043478
income (incl. primary or secondary),1230,0.08140403286034359,0.519206416209371
expense,1160,0.05691056910569103,0.4896580835795694
loan-preference,1134,0.022413793103448265,0.47868298860278596
review-submit,1040,0.08289241622574961,0.43900379907133813
submitted,965,0.07211538461538458,0.40734487125369356


##############################################
# Same-session | NTB apply
##############################################
,,,
,Visitors,Fallout,Fall through
Personal details,7902,,1
Terms and conditions,3852,0.5125284738041003,0.4874715261958998
CIF screen,2976,0.22741433021806856,0.37661351556567957
single-joint,2795,0.06081989247311825,0.35370792204505186
property,2651,0.05152057245080499,0.3354846874209061
income (primary or secondary),2349,0.11391927574500194,0.2972665148063781
expense,2220,0.054916985951468655,0.2809415337889142
loan-preference,2158,0.027927927927927976,0.27309541888129585
review-submit,1595,0.2608897126969416,0.20184763351050367
submitted,1498,0.060815047021943625,0.18957226018729437


