Calculators,Campaign page,Product page app,Product page open,Product page secured,Date,Product page target,Visitor or Client,MonthvsWeek,month,target_PP_23
27505,2943,NA,9253,0,2022-12-12,12196,visitor,Week,December,58776.170000000006
0,0,962,0,117,2022-12-19,117,client,Week,December,58776.170000000006
23041,2780,NA,7390,0,2022-12-19,10170,visitor,Week,December,58776.170000000006
0,0,1218,0,156,2022-12-26,156,client,Week,December,58776.170000000006
27399,2603,NA,6424,0,2022-12-26,9027,visitor,Week,December,58776.170000000006
0,0,1772,0,231,2023-01-02,231,client,Week,January,61405.16
31847,1248,NA,11199,0,2023-01-02,12447,visitor,Week,January,61405.16
0,0,1758,0,258,2023-01-09,258,client,Week,January,61405.16
33155,721,NA,13338,0,2023-01-09,14059,visitor,Week,January,61405.16
0,0,1733,0,259,2023-01-16,259,client,Week,January,61405.16
32448,391,NA,12865,0,2023-01-16,13256,visitor,Week,January,61405.16
0,0,1571,0,226,2023-01-23,226,client,Week,January,61405.16
31016,351,NA,11390,0,2023-01-23,11741,visitor,Week,January,61405.16
0,0,2198,0,294,2023-01-30,294,client,Week,January,61405.16
35799,782,NA,14230,0,2023-01-30,15012,visitor,Week,January,61405.16
0,0,2305,0,317,2023-02-06,317,client,Week,February,62430.22
39507,1793,NA,18599,0,2023-02-06,20392,visitor,Week,February,62430.22
0,0,1835,0,293,2023-02-13,293,client,Week,February,62430.22
35905,2317,NA,15534,0,2023-02-13,17851,visitor,Week,February,62430.22
0,0,1805,0,235,2023-02-20,235,client,Week,February,62430.22
34850,1950,NA,15071,0,2023-02-20,17021,visitor,Week,February,62430.22
0,0,573,0,108,2023-02-27,108,client,Week,February,62430.22
11473,459,NA,5330,0,2023-02-27,5789,visitor,Week,February,62430.22
0,0,0,0,1145,2022-03-01,1145,client,Month,March,59296.19
128992,5728,NA,48258,0,2022-03-01,53986,visitor,Month,March,59296.19
0,0,0,0,941,2022-04-01,941,client,Month,April,54046.770000000004
110738,4211,NA,45196,0,2022-04-01,49407,visitor,Month,April,54046.770000000004
0,0,14,0,1154,2022-05-01,1154,client,Month,May,67625.07
115379,4830,NA,57161,0,2022-05-01,61991,visitor,Month,May,67625.07
0,0,5956,0,988,2022-06-01,988,client,Month,June,68897.3
118742,6046,NA,57272,0,2022-06-01,63318,visitor,Month,June,68897.3
0,0,6450,0,1090,2022-07-01,1090,client,Month,July,83251.35
140658,6815,NA,69870,0,2022-07-01,76685,visitor,Month,July,83251.35
0,0,6537,0,1039,2022-08-01,1039,client,Month,August,84999.73000000001
157507,7570,NA,70783,0,2022-08-01,78353,visitor,Month,August,84999.73000000001
0,0,6388,0,930,2022-09-01,930,client,Month,September,72411.18000000001
149022,8522,NA,58269,0,2022-09-01,66791,visitor,Month,September,72411.18000000001
0,0,6889,0,973,2022-10-01,973,client,Month,October,75429.65000000001
155256,9241,NA,60187,0,2022-10-01,69428,visitor,Month,October,75429.65000000001
0,0,5865,0,921,2022-11-01,921,client,Month,November,68661.90000000001
130884,6318,NA,56753,0,2022-11-01,63071,visitor,Month,November,68661.90000000001
0,0,5203,0,717,2022-12-01,717,client,Month,December,58776.170000000006
120910,12438,NA,41729,0,2022-12-01,54167,visitor,Month,December,58776.170000000006
0,0,7646,0,1096,2023-01-01,1096,client,Month,January,61405.16
